domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
ie.usembassy.gov,40375,114268,26663,2.8301671826625387,188.37619814241486,40375
blog.epa.gov,39613,105127,38089,2.653851008507308,179.73061873627344,38851
cs.amedd.army.mil,39613,89891,28186,2.2692297982985385,139.53833337540706,40375
dsbs.sba.gov,39613,271958,19045,6.86537247873173,350.73046727084545,43422
foia.gov,39613,139407,35042,3.5192234872390378,85.28839017494256,41898
kh.usembassy.gov,39613,81511,10665,2.0576830838361144,163.17292303031832,40375
safeharbor.export.gov,39613,57896,35042,1.4615404034029233,131.86527150177972,33519
transtats.bts.gov,39613,167593,30472,4.23075757958246,130.96142680433192,42660
ccr.cancer.gov,38851,116554,25901,3.000025739363208,151.07912280250187,38851
insurekidsnow.gov,38851,79226,32757,2.039226789529227,93.52984479163986,38851
search.dea.gov,38851,94462,31995,2.431391727368665,136.6672929911714,38851
uy.usembassy.gov,38851,110459,18283,2.843144320609508,192.98126174358447,39613
labornet.dol.gov,38089,113506,13712,2.9800204783533304,187.7019086875476,40375
mymoney.gov,38089,81511,35804,2.1400141773215364,44.32045997532096,38089
rotorcraft.arc.nasa.gov,38089,96747,2285,2.540024679041193,544.2255506839244,37328
state.usajobs.gov,38089,106650,22092,2.8000210034393134,178.44183360025204,36566
visibleearth.nasa.gov,38089,133313,39613,3.5000393814487123,129.28131481530102,41137
preview.weather.gov,37328,45707,34280,1.2244695670810115,147.44741213030434,27424
savingsbonds.gov,37328,137122,34280,3.6734354907843976,99.01934204886412,37328
carbonfootprint.gsa.gov,36566,265102,31995,7.249958978285839,477.16422359569,35804
ginniemae.gov,36566,98271,22854,2.68749658152382,72.95796641689,36566
go4life.nia.nih.gov,36566,140169,33519,3.8333151014603732,177.99909752228845,35042
ics-cert.us-cert.gov,36566,99032,30472,2.708308264508013,160.6450254334628,36566
ke.usembassy.gov,36566,100556,23615,2.74998632609528,207.01977246622545,35804
toxtown.nlm.nih.gov,36566,79988,33519,2.18749658152382,333.8108078542909,36566
fai.gov,35804,63228,28186,1.76594793877779,113.91498156630544,35804
nas.er.usgs.gov,35804,75417,30472,2.1063847614791644,73.40431236733326,35804
nssdc.gsfc.nasa.gov,35804,88367,34280,2.4680761926041783,119.97880125125684,35804
nvd.nist.gov,35804,54849,33519,1.5319238073958217,84.17026030611105,36566
tf.nist.gov,35804,42660,32757,1.1914869846944476,57.93620824488884,35804
eclipse2017.nasa.gov,35042,85320,30472,2.4347925346726784,238.392928485817,35042
govloans.gov,35042,86844,34280,2.4782832030135267,104.41376063010102,35042
pmf.gov,35042,115030,28948,3.2826322698476114,85.23971234518578,35042
portland.va.gov,35042,65514,23615,1.869585069345357,192.87086924262314,36566
search.consumerfinance.gov,35042,207206,19045,5.9130757376862055,358.76331259631297,8380
smartpay.gsa.gov,35042,79226,29710,2.2608869356771875,195.54480337880258,36566
zh-tools.usps.com,35042,53325,16759,1.5217453341704241,203.82746418583415,31233
aloha.gsa.gov,34280,45707,9903,1.333343057176196,177.24676196032672,31995
floodsafety.noaa.gov,34280,53325,31995,1.5555717619603266,66.71198949824971,31995
nationalgangcenter.gov,34280,58658,28948,1.7111435239206534,121.20160443407235,34280
nature.nps.gov,34280,72370,31233,2.1111435239206533,103.42357059509918,40375
report.nih.gov,34280,45707,34280,1.333343057176196,87.82336639439907,34280
search.navy.mil,34280,64752,21330,1.8889148191365228,71.62316219369895,22092
telework.gov,34280,120362,28948,3.5111435239206537,220.9362310385064,34280
docsteach.org,33519,265864,26663,7.93174020704675,423.95026701273906,33519
espanol.epa.gov,33519,44184,28186,1.318177749932874,52.840389033085714,31995
lasvegas.va.gov,33519,44945,12950,1.3408812912079715,11.454428831409052,34280
lovell.fhcc.va.gov,33519,52563,20568,1.5681553745636803,295.6333721173066,33519
surgeongeneral.gov,33519,62467,28948,1.8636295832214564,126.4078283958352,32757
dataqs.fmcsa.dot.gov,32757,317666,12950,9.697652410171871,538.0677107183197,31233
gsaxcess.gov,32757,882912,9141,26.953384009524683,640.0673138565803,32757
netl.doe.gov,32757,72370,22854,2.209298775834173,126.67393228928168,32757
ospo.noaa.gov,32757,60181,25901,1.8371951033366913,31.534755930030222,32757
science.gsfc.nasa.gov,32757,51802,22854,1.5814024483316542,67.25554843239613,35804
search.gsa.gov,32757,36566,26663,1.1162804896663308,85.4182922734072,25901
fic.nih.gov,31995,86844,28948,2.714299109235818,138.73845913423972,31233
fisheries.noaa.gov,31995,42660,30472,1.3333333333333333,38.64297546491639,31995
